#{"t_start": 1754430355.9672458, "env_id": "None"}
r,l,t
-52.0,200,80.627857
4.66,200,80.826858
130.32,138,80.958858
115.99,31,80.988862
99.89,79,81.071856
107.18,36,81.105855
123.12,109,81.208856
108.3,21,81.229857
9.61,200,81.420859
112.95,100,81.516858
114.29,73,81.598862
111.85,35,81.632861
114.35,35,81.667855
7.94,200,81.859855
112.67,99,81.956859
110.57,100,82.097124
46.82,187,82.274692
27.04,200,82.46522
23.01,200,82.656215
121.93,117,82.768735
105.71,33,82.80174
100.04,108,82.90374
-54.2,200,83.103744
111.66,34,83.136746
-7.82,200,83.323744
33.81,200,83.514747
33.6,200,86.041052
13.36,200,86.247577
118.48,72,86.316573
112.03,38,86.352573
112.56,84,86.451579
105.1,54,86.520576
109.6,20,86.542576
33.0,200,86.751168
114.11,19,86.769159
79.77,122,86.888159
106.07,47,86.934158
18.72,200,87.129159
121.44,136,87.259166
119.51,130,87.38116
20.55,200,87.574687
114.58,33,87.605684
-7.04,200,87.798694
100.93,10,87.808693
113.34,46,87.851688
116.75,106,87.951684
26.33,200,88.148692
115.26,106,88.254686
102.32,68,88.319685
110.04,67,88.386687
119.76,66,88.474693
8.1,200,88.733043
107.22,19,88.752046
-13.02,200,88.949625
119.4,60,89.008646
110.1,21,89.031648
101.7,37,89.067644
104.67,47,89.112647
114.71,49,89.159647
12.86,200,89.350652
-50.43,200,89.543645
30.24,200,89.744649
129.01,170,89.908652
116.77,53,89.960645
106.85,89,90.049647
-37.58,200,93.178058
20.63,200,93.47265
112.7,20,93.502647
109.32,18,93.523661
109.64,58,93.586975
113.25,46,93.635968
122.19,121,93.769184
113.43,28,93.799177
23.71,200,94.035206
26.92,200,94.333449
17.93,200,94.549443
96.44,119,94.681448
114.11,130,94.840475
117.77,43,94.898473
114.5,20,94.93748
31.01,200,95.203472
23.32,200,95.457536
26.21,200,95.684694
112.25,35,95.722698
121.27,93,95.821694
109.18,33,95.857695
112.96,25,95.8857
19.62,200,96.106696
104.86,38,96.147696
94.96,54,96.205698
111.86,110,96.320695
116.31,49,96.372701
14.42,200,96.591697
114.49,101,96.700693
104.95,28,96.730695
119.27,107,96.842715
117.95,85,96.931718
