r
20.62
33.8
7.21
-0.9900000000000001
2.1
-4.97
2.9
0.7
0.09999999999999991
0.09999999999999991
-15.51
4.1000000000000005
-4.7700000000000005
1.2999999999999998
-1.1900000000000002
0.8999999999999999
-3.18
0.09999999999999991
-0.3000000000000001
0.7
-3.68
1.2999999999999998
-0.3000000000000001
-36.02
-1.3900000000000001
0.1999999999999999
0.29999999999999993
1.2999999999999998
-276.71
-0.10000000000000007
-7.632783294297951e-17
-378.7
-7.632783294297951e-17
3.2
0.3999999999999999
-7.632783294297951e-17
-7.632783294297951e-17
-0.5000000000000001
-0.5000000000000001
-0.6000000000000001
-0.10000000000000007
-0.10000000000000007
-128.46
-1.0
-12.94
-0.5000000000000001
-0.5000000000000001
-0.5000000000000001
-0.10000000000000007
-1.0
-0.5000000000000001
-0.6000000000000001
0.4999999999999999
-0.5000000000000001
-0.20000000000000007
-1.0
-1.0
-1.0
-184.08
-0.20000000000000007
-0.6000000000000001
0.1999999999999999
-1.1
-0.6000000000000001
-1.0
-0.4000000000000001
-1.0
-0.6000000000000001
-1.0
-1.0
-1.0
-0.5000000000000001
-1.0
-1.0
-0.10000000000000007
-0.5000000000000001
-1.5
-2.0
-0.5000000000000001
-0.5000000000000001
-1.0
-1.0
-1.6
-1.6
-0.5000000000000001
-0.6000000000000001
-82.59
-1.1
-61.2
-1.0
-1.0
-223.88
-1.0
-112.44
-1.0
-98.51
-7.632783294297951e-17
-0.10000000000000007
-1.0
-0.5000000000000001
-122.89
-0.5000000000000001
-4.98
-0.5000000000000001
-1.0
-1.0
-0.5000000000000001
-0.6000000000000001
-1.0
-0.5000000000000001
-0.10000000000000007
-0.5000000000000001
-1.0
-1.0
-78.71
0.29999999999999993
-0.6000000000000001
-1.0
-0.5000000000000001
-0.5000000000000001
0.7
-0.5000000000000001
-0.5000000000000001
-0.5000000000000001
-0.20000000000000007
-269.85
-0.10000000000000007
-0.5000000000000001
-341.79
-0.5000000000000001
-0.5000000000000001
-0.5000000000000001
-0.3000000000000001
-1.0
-1.1
-19.41
-1.0
-1.0
-34.83
-0.10000000000000007
-0.6000000000000001
-0.10000000000000007
-1.2
-0.5000000000000001
-1.0
-10.55
-19.41
-259.8
-0.6000000000000001
-0.5000000000000001
-1.0
-0.20000000000000007
-1.0
-1.0
-0.6000000000000001
-2.0
-1.6
-23.39
-1.0
-1.2
-1.0
-16.03
-112.24
-165.97
-0.3000000000000001
-0.6000000000000001
-0.5000000000000001
-0.6000000000000001
-0.6000000000000001
-1.2
-0.4000000000000001
-1.1
-1.0
-176.32
-0.20000000000000007
-0.6000000000000001
-0.5000000000000001
-0.20000000000000007
-0.8
-0.8
-0.7000000000000001
-154.73
-1.0
-1.0
-2.0
-1.6
-88.66
-83.29
-0.4000000000000001
-0.8
-1.0
-2.0
-0.8
-1.6
-1.6
-1.6
-1.0
-1.1
-1.6
-2.0
-2.0
-2.0
-0.7000000000000001
-1.5
-2.0
-2.0
-1.5
-1.6
-2.0
-2.0
-2.0
-2.0
-1.5
-2.0
-2.0
-2.0
-1.1
-2.0
-2.0
-1.0
-2.0
-2.0
-1.5
-2.0
-2.0
-1.6
-2.0
-2.0
-1.5
-1.5
-1.5
-1.5
-1.5
-2.0
-2.0
-1.5
-1.5
-2.0
-1.5
-2.0
-2.0
-2.0
-2.0
-2.0
-1.5
-215.03
-1.5
-1.5
-1.0
-1.6
-2.0
-2.0
-2.0
-2.0
-2.0
-1.1
-2.0
-2.0
-1.5
-2.0
-2.0
-1.0
-2.0
-1.5
-2.0
-1.5
-1.5
-2.0
-1.5
-312.44
-1.6
-2.0
-1.6
-4.09
-1.5
-1.5
-2.0
-1.5
-1.5
-1.5
-1.0
-1.5
-1.5
-1.5
-120.9
-1.5
-1.0
-1.0
-1.5
-1.1
-1.5
-1.5
-1.0
-1.5
-1.0
-1.0
-1.6
-1.5
-1.5
-1.0
-1.5
-1.0
-1.5
-1.5
-3.09
-1.0
-1.5
-1.0
-1.1
-1.5
-1.1
-1.5
-1.0
-1.5
-392.04
-1.5
-1.0
-1.0
-1.0
-1.5
-1.1
-1.0
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.1
-1.5
-1.5
-1.5
-63.69
-1.5
-0.6000000000000001
-1.5
-1.5
-1.5
-1.1
-1.5
-1.0
-330.35
-2.0
-1.2
-1.5
-1.5
-1.5
-1.5
-1.5
-2.0
-1.5
-1.5
-1.5
-1.5
-1.5
-1.0
-1.5
-1.5
-1.5
-1.5
-1.0
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-2.0
-2.0
-2.0
-2.0
-1.5
-1.5
-1.5
-1.0
-1.5
-2.0
-2.0
-2.0
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.0
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.0
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-390.05
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.0
-1.0
-1.0
-1.5
-1.0
-1.5
-1.0
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.1
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-396.02
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-396.02
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.0
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
-1.5
